request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Based on 90-day simulation starting 2025-08-03, min balance reaches limit. affordable_now."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Based on 90-day simulation starting 2026-07-05, min balance reaches limit. affordable_now."
request_28,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-06-07, min balance reaches limit. not_affordable."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Based on 90-day simulation starting 2025-11-04, min balance reaches limit. affordable_now."
request_30,243.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-04-06, min balance reaches limit. not_affordable."
request_31,2664316.8,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Based on 90-day simulation starting 2024-09-03, min balance reaches limit. affordable_later."
request_32,12939.23,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-05, min balance reaches limit. not_affordable."
request_33,31246.8,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Based on 90-day simulation starting 2026-01-07, min balance reaches limit. affordable_later."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Based on 90-day simulation starting 2024-12-04, min balance reaches limit. affordable_now."
request_35,23882.79,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Based on 90-day simulation starting 2025-10-30, min balance reaches limit. affordable_later."
request_36,586.51,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Based on 90-day simulation starting 2026-07-03, min balance reaches limit. affordable_later."
request_37,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-03-05, min balance reaches limit. not_affordable."
request_38,182.82,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"Based on 90-day simulation starting 2025-08-07, min balance reaches limit. affordable_later."
request_39,50841.31,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Based on 90-day simulation starting 2026-04-04, min balance reaches limit. affordable_later."
request_40,372.06,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-06-06, min balance reaches limit. not_affordable."
request_41,10105358.95,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Based on 90-day simulation starting 2025-11-03, min balance reaches limit. affordable_later."
request_42,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-05, min balance reaches limit. not_affordable."
request_43,9697757.75,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Based on 90-day simulation starting 2024-09-07, min balance reaches limit. affordable_later."
